"Marca temporal","Modalidad","Trabajo","Tipo de trabajo","DevOps","Codificar por trabajo","Experiencia en TI","Experiencia en codificación ","Primera línea de código en una máquina","Educación","Carreras o especialidades","Importancia educación formal","Género","Edad actual ","Salario mensual","Programación, scripting y lenguajes de marcado","Librerías o web frameworks","Otras frameworks, librerías y herramientas","Base de datos","Plataformas","Lenguaje favorito","Lenguaje más odiado","Framework favorito","Framework más odiado","Herramientas"
"2021/03/01 5:56:11 p. m. GMT-3","Remoto","Nacional (Paraguay)","QA o testing","Educador","No","Menos de 5 años","","22 a 23 años","Educación universitaria","Programación;Análisis de sistemas;Ingeniero Civil;Otras ingenerías","Más o menos importante","Género","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;Java;C++;SQL","","","MySQL;PostgreSQL;IBM DB2","GNU/Linux;Microsoft Windows;MacOS","SQL","","","","GitHub;Slack;Jira;Microsoft Team;Discord"
"2021/03/01 5:57:32 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Project Leader","Administrador de sistemas;Educador","Sí","15 a 19 años","15 a 19 años","20 a 21 años","Educación universitaria;Autodidacta","Análisis de sistemas;Ingeniero Informática","Muy importante","","35 a 39 años","Entre 15.000.000 a 18.000.000 gs","JavaScript;C#;HTML/CSS;SQL","ASP.NET;ASP.NET Core",".NET;Xamarin","MySQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows;Microsoft Azure;WordPress","C#","Java","ASP.NET Core","Laravel","GitHub;Microsoft Team;Microsoft Azure"
"2021/03/01 5:57:57 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador front-end","","Sí","Menos de 5 años","Menos de 5 años","20 a 21 años","Educación universitaria","Análisis de sistemas;Ingeniero Informática","No importa, no es necesario","","20 a 24 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;C;C#;HTML/CSS;SQL","React.js;Angular;JQuery;ASP.NET Core","Opció.NET Coren 3","","GNU/Linux;Microsoft Windows;MacOS","C#","Genexus","ASP.NET Core","Django","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure"
"2021/03/01 5:59:04 p. m. GMT-3","Hibrído","Ambas","Desarrollador full-stack","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación universitaria;Master;Autodidacta","Programación;Análisis de sistemas","Crítico","","20 a 24 años","Entre 18.000.000 a 21.000.000 gs","JavaScript;TypeScript;PHP;HTML/CSS;SQL;Dart","Angular;Angular.js;JQuery;Laravel","Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis","GNU/Linux;Microsoft Windows;MacOS;Android;iOS","PHP","","Laravel","","GitHub;Slack;Trello"
"2021/03/01 5:59:44 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador mobile","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación básica;Educación secundaria;Autodidacta","Programación","Más o menos importante","","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","PHP;Java;Kotlin;Swift","Laravel","","MySQL","Microsoft Windows;MacOS","Kotlin","C++","Laravel","","GitHub;Slack;Confluence;Trello;Discord"
"2021/03/01 5:59:54 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador mobile","","Sí","10 a 14 años","5 a 9 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Más o menos importante","","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript","React.js","Node.js","MySQL;MariaDB;PostgreSQL;MongoDB;Firebase","MacOS;AWS;Android;iOS","JavaScript","Java","React.js","Angular","GitHub;Slack;GitLab;Jira"
"2021/03/01 6:00:43 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas;Ingeniero Informática","Muy importante","","20 a 24 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Python;Java;HTML/CSS;SQL","Django;Symfony","","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows","Python","PHP","Django","","GitHub;GitLab"
"2021/03/01 6:01:30 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end","Diseñador","Sí","10 a 14 años","10 a 14 años","16 a 17 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;Java;SQL","Angular;Angular.js;JQuery;Spring","","MySQL;PostgreSQL;SQLite;Redis;Oracle","GNU/Linux;Microsoft Windows;Docker","Java","PHP","Spring","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 6:01:39 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end","","Sí","10 a 14 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Autodidacta","Ninguna","Más o menos importante","","30 a 34 años","Más de 27.000.000 gs","JavaScript;Python;Java;Kotlin;C;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;JQuery;Django;Flask;Laravel;Ruby on Rails","","MySQL;MariaDB;PostgreSQL;SQLite","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;WordPress;Heroku;Arduino","Python","Java","Django","ASP.NET","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Trello"
"2021/03/01 6:01:43 p. m. GMT-3","Remoto","Ambas","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria;Autodidacta","Otras","No importa, no es necesario","Hombre","40 a 44 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;Python;C#;Dart","React.js;Express;Vue.js;Django;Gatsby","Node.js;Flutter","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Firebase","GNU/Linux;Docker;WordPress;Kubernetes","JavaScript","PHP","React.js","CakePHP","GitHub;Slack;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/01 6:02:15 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria","Programación;Análisis de sistemas","Más o menos importante","","20 a 24 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Java;HTML/CSS","Angular;Express;Spring","Node.js","MongoDB;Firebase","GNU/Linux;Microsoft Windows","TypeScript","PHP","Angular","JQuery","GitHub;Slack;GitLab;Microsoft Team"
"2021/03/01 6:02:24 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador front-end","Administrador de sistemas","Sí","5 a 9 años","Menos de 5 años","14 a 15 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Salario mínimo 2.192.839 gs","JavaScript;HTML/CSS","Angular","","PostgreSQL","GNU/Linux;Microsoft Windows","JavaScript","Java","React.js","Angular","GitHub"
"2021/03/01 6:02:30 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","Oracle form","","","Oracle","GNU/Linux;Microsoft Windows","Oracle form","Java","","",""
"2021/03/01 6:02:58 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Mujer","30 a 34 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;PHP;Python;HTML/CSS","React.js;JQuery;Django","","MySQL;PostgreSQL","GNU/Linux;Microsoft Windows","Python","Oracle form","Django","","GitHub;GitLab"
"2021/03/01 6:07:52 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end","","Sí","5 a 9 años","Menos de 5 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","30 a 34 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","Angular;Angular.js;JQuery;Express;Spring;Django;CodeIgniter","Node.js;.NET","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle","GNU/Linux;Microsoft Windows","Java","Genexus","Angular","ASP.NET Core","GitHub;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 6:07:56 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador mobile;Aplicaciones de escritorio o empresariales","","No","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria","Programación;Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;Kotlin;Scala;Oracle form","React.js;Express","Node.js;Flutter","MySQL;PostgreSQL;SQLite;MongoDB;Oracle","Microsoft Windows;Android;Heroku","Oracle form","Java","Express","ASP.NET","GitHub;Jira"
"2021/03/01 6:08:48 p. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 21.000.000 a 24.000.000 gs","JavaScript;TypeScript;Java;HTML/CSS;SQL","React.js;Angular.js;JQuery;Express;Spring","Node.js;React Native","MySQL;PostgreSQL;Microsoft SQL Server;MongoDB","GNU/Linux;MacOS;Docker;AWS;Android;Google Cloud Platform","JavaScript","C","React.js","ASP.NET Core","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/01 6:11:09 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador de sistemas embebidos;Project Leader","Administrador de sistemas;Diseñador","Sí","20 a 24 años","20 a 24 años","24 a 25 años","Educación básica;Educación secundaria;Educación universitaria","Análisis de sistemas","Bastante importante","Hombre","40 a 44 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","Angular;Angular.js","Node.js","PostgreSQL","GNU/Linux;Docker;Kubernetes;Arduino","Java","Genexus","Angular","Ruby on Rails","GitHub;Jira;Confluence"
"2021/03/01 6:12:12 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Administrador de base de datos","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","20 a 24 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Express;Laravel","Node.js","MySQL;MariaDB;PostgreSQL","GNU/Linux;Microsoft Windows;Docker","JavaScript","PHP","React.js","","GitHub;Microsoft Team"
"2021/03/01 6:12:33 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile;Aplicaciones de escritorio o empresariales","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","20 a 24 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Python;C#;HTML/CSS;SQL","React.js;ASP.NET;Express;ASP.NET Core;Django","Node.js;.NET;React Native","MySQL;PostgreSQL;MongoDB;Oracle","Microsoft Windows;WordPress;Heroku","C#","PHP","React.js","Laravel","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Microsoft Azure;Trello"
"2021/03/01 6:13:58 p. m. GMT-3","Remoto","Ambas","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador de sistemas embebidos;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","35 a 39 años","35 a 39 años","más de 30 años","Educación básica;Educación secundaria;Master;Autodidacta","Programación;Análisis de sistemas;Ingeniero Informática;Diseño gráfico;Otras","Más o menos importante","Hombre","45 a 49 años","Entre 21.000.000 a 24.000.000 gs","JavaScript;TypeScript;Python;Ruby;Java;C;C#;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly;Rust;Perl;VBA;Fox Pro","React.js;Angular.js;JQuery;Express;Django;Flask;Ruby on Rails","Node.js","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Couchbase;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Kubernetes;Arduino","","","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 6:15:39 p. m. GMT-3","Hibrído","Internacional","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack","Diseñador","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Ninguna","Bastante importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;C#;SQL","JQuery;ASP.NET",".NET","MySQL;MariaDB;Microsoft SQL Server","GNU/Linux;Microsoft Windows","C#","VBA","ASP.NET","Angular","Jira;Confluence"
"2021/03/01 6:18:51 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;Python;Java;Go;SQL","React.js;Angular;Vue.js;Spring","Node.js;Ansible;Hadoop","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;DynamoDB;Cassandra;Elasticsearch","GNU/Linux;Microsoft Windows;Docker;AWS;Google Cloud Platform;Kubernetes","Java","PHP","React.js","ASP.NET","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello"
"2021/03/01 6:19:23 p. m. GMT-3","Remoto","Ambas","Desarrollador full-stack;Desarrollador de videojuegos","","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación secundaria","Ninguna","No importa, no es necesario","Hombre","35 a 39 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;TypeScript;PHP;Python;C#;HTML/CSS;Dart","React.js;Angular.js;Express;Django;Laravel","Node.js;React Native;Unity 3D;Flutter","MySQL;PostgreSQL;SQLite;MongoDB;Firebase","MacOS;Google Cloud Platform;Heroku","JavaScript","","React.js","Laravel","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello;Discord"
