marca_temporal,modalidad,trabajo,tipo_de_trabajo,devops,codificar_por_trabajo,experiencia_en_ti,experiencia_en_codificación_,primera_línea_de_código_en_una_máquina,educación,carreras_o_especialidades,importancia_educación_formal,género,edad_actual_,salario_mensual,programación_scripting_y_lenguajes_de_marcado,librerías_o_web_frameworks,otras_frameworks_librerías_y_herramientas,base_de_datos,plataformas,lenguaje_favorito,lenguaje_más_odiado,framework_favorito,framework_más_odiado,herramientas
2021/03/01 5:56:11 p. m. GMT-3,Remoto,Nacional (Paraguay),QA o testing,Educador,No,<5,,22-23,Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Civil;Otras Ing.,+ || -,NO COMPARTO,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;Java;C++;SQL,,,MySQL;PostgreSQL;IBM DB2,GNU/Linux;Microsoft Windows;MacOS,SQL,,,,GitHub;Slack;Jira;Microsoft Team;Discord
2021/03/01 5:57:32 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Aps de escritorio o empresariales;Project Lead,Sys Admin;Educador,Sí,15-19,15-19,20-21,Ed. Universitaria;Autodidacta,Análisis de Sistemas;Ing. Informática,MUY,,35-39,15.000.000 a 18.000.000 Gs.,JavaScript;C#;HTML/CSS;SQL,ASP.NET;ASP.NET Core,.NET;Xamarin,MySQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows;Microsoft Azure;WordPress,C#,Java,ASP.NET Core,Laravel,GitHub;Microsoft Team;Microsoft Azure
2021/03/01 5:57:57 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev front-end,,Sí,<5,<5,20-21,Ed. Universitaria,Análisis de Sistemas;Ing. Informática,NO,,20-24,7.000.000 a 9.000.000 Gs.,JavaScript;TypeScript;PHP;C;C#;HTML/CSS;SQL,React.js;Angular;JQuery;ASP.NET Core,Opció.NET Coren 3,,GNU/Linux;Microsoft Windows;MacOS,C#,Genexus,ASP.NET Core,Django,GitHub;Slack;GitLab;Google Suite;Microsoft Team;Microsoft Azure
2021/03/01 5:59:04 p. m. GMT-3,Hibrído,Ambas,Dev full-stack,Sys Admin,Sí,5-9,5-9,10-11,Ed. Universitaria;Master;Autodidacta,Programación;Análisis de Sistemas,CRITICO,,20-24,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;PHP;HTML/CSS;SQL;Dart,Angular;Angular.js;JQuery;Laravel,Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis,GNU/Linux;Microsoft Windows;MacOS;Android;iOS,PHP,,Laravel,,GitHub;Slack;Trello
2021/03/01 5:59:44 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile,,Sí,5-9,5-9,16-17,Ed. Basica;Ed. Secundaria;Autodidacta,Programación,+ || -,,30-34,12.000.000 a 15.000.000 Gs.,PHP;Java;Kotlin;Swift,Laravel,,MySQL,Microsoft Windows;MacOS,Kotlin,C++,Laravel,,GitHub;Slack;Confluence;Trello;Discord
2021/03/01 5:59:54 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile,,Sí,10-14,5-9,10-11,Ed. Universitaria,Análisis de Sistemas,+ || -,,30-34,9.000.000 a 12.000.000 Gs.,JavaScript,React.js,Node.js,MySQL;MariaDB;PostgreSQL;MongoDB;Firebase,MacOS;AWS;Android;iOS,JavaScript,Java,React.js,Angular,GitHub;Slack;GitLab;Jira
2021/03/01 6:00:43 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática,MUY,,20-24,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Python;Java;HTML/CSS;SQL,Django;Symfony,,MySQL;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,Python,PHP,Django,,GitHub;GitLab
2021/03/01 6:01:30 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end,Diseñador,Sí,10-14,10-14,16-17,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;TypeScript;Java;SQL,Angular;Angular.js;JQuery;Spring,,MySQL;PostgreSQL;SQLite;Redis;Oracle,GNU/Linux;Microsoft Windows;Docker,Java,PHP,Spring,,GitHub;GitLab;Google Suite;Trello
2021/03/01 6:01:39 p. m. GMT-3,Remoto,Internacional,Dev back-end,,Sí,10-14,5-9,12-13,Ed. Basica;Ed. Secundaria;Autodidacta,Ninguna,+ || -,,30-34,> 27.000.000 Gs.,JavaScript;Python;Java;Kotlin;C;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;JQuery;Django;Flask;Laravel;Ruby on Rails,,MySQL;MariaDB;PostgreSQL;SQLite,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;WordPress;Heroku;Arduino,Python,Java,Django,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Trello
2021/03/01 6:01:43 p. m. GMT-3,Remoto,Ambas,Dev full-stack,,Sí,<5,<5,<10,Ed. Universitaria;Autodidacta,Otras,NO,HOMBRE,40-44,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;Python;C#;Dart,React.js;Express;Vue.js;Django;Gatsby,Node.js;Flutter,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Firebase,GNU/Linux;Docker;WordPress;Kubernetes,JavaScript,PHP,React.js,CakePHP,GitHub;Slack;Google Suite;Trello;Discord
