,marca_temp,1_ocupacion,2_relacion_contractual,3_mercado_de_trabajo,4_rubro_de_trabajo,5_ROL_de_trabajo,6_años_de_experiencia,7) Nivel de seniority que Ud. considera que posee:,"8) Nivel de seniority que le asignan en su trabajo actual (aunque no sea en forma explícita, si puede inferir igual indique):",9_nivel_educativo,10_lugar_educativo,11_ingreso_mensual_en_dolares,12_beneficios_percibidos,13_remuneracion_vs_compañeros,14_habilidades_tecnicas,15_estimacion_de_vacancias,16_politicas_de_retencion_capacitacion,17_1_factores_opciones_lab,18_2_factores_opciones_lab,19_tuvo_entrev_inter,20_freq_ofert_laboral,21_mayor_dif_x_emp_internacionales,22_percep_señority,23_perf_mas_req,24_educacion_formal_internacionales,25_mayor_desafio_exterior,26_ingles_nivel_min
0,2022-09-15 09:15:24.726,fulltime,indef_sin_contrato,emp_ext_cli_ext,soft. factory / intermediaria,dev / software eng,11 - 15,Senior,Senior,Grado,Universidad Nacional de Asunción,4001 - 5000,"Vacaciones pagas, Trabajo remoto",Igual,Frontend React,no sé,Sí,Espacio para crecimiento profesional,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",La falta de experiencia en herramientas o metodologías específicas.,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
1,2022-09-15 09:16:09.409,fulltime,contrato_temporal,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,11 - 15,Senior,Senior,Grado,Universidad Nacional de Asunción,1000 - 1500,"13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto",No trabajo para el exterior,Desarrollo backend con Java,5 - 10,Sí,Modalidad de trabajo remota o híbrida,Espacio para crecimiento profesional,Sí,3 a 5 veces al año,El conocimiento de tecnologías o metodologías específicas,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
2,2022-09-15 09:18:17.827,fulltime,indef_sin_contrato,emp_loc_cli_ext,soft. factory / intermediaria,dev / software eng,10.0,Mid-level o Associate,Mid-level o Associate,Grado,Universidad Nacional de Asunción,1501 - 2000,"13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,5 - 10,No,Estabilidad laboral,Seguro social y plan de retiro (jubilación),Sí,3 a 5 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
3,2022-09-15 09:19:28.263,fulltime,r_dependencia,emp_local_cli_local,Telefonía / Networking,Software Arch.,7.0,Senior,Senior,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,5 - 10,No,Remuneración económica,Ambiente laboral,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
4,2022-09-15 09:22:02.338,fulltime,indef_sin_contrato,emp_ext_cli_ext,soft. factory / intermediaria,Data Engineer,6.0,Semi-senior,Semi-senior,Grado,Universidad Nacional de Asunción,5001 - 6000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres",Menor,Data engineering o ML con herramientas en ambiente cloud (distintas a Spark y Hadoop),21 - 30,Sí,Oportunidad de crecimiento económico,Estabilidad laboral,Sí,Más de 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
5,2022-09-15 09:24:41.094,fulltime,r_dependencia,emp_local_cli_local,Telefonía / Networking,Software Arch.,5.0,Senior,Senior,Grado,Universidad privada del Paraguay,1501 - 2000,"Seguro médico, 13er salario o aguinaldo, Flexibilidad horaria, Trabajo híbrido (remoto y presencial), Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo backend con Java,11 - 20,Sí,Oportunidad de aprendizaje,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,La formación académica de base (universidad),"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,No se necesita.
6,2022-09-15 09:24:54.228,fulltime,r_dependencia,emp_local_cli_local,Gobierno,dev / software eng,11 - 15,Senior,Principal,Maestría,Universidad Nacional de Asunción,2501 - 3000,"Seguro médico, Jubilación",No trabajo para el exterior,Desarrollo backend con Java,no sé,Sí,Estabilidad laboral,Oportunidad de crecimiento económico,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Lo anterior más poder escribir sobre temas técnicos. (mails, chats, documentos)"
7,2022-09-15 09:26:10.953,fulltime,indef_sin_contrato,emp_ext_cli_ext,soft. factory / intermediaria,dev / software eng,11 - 15,Senior,Senior,Maestría,Universidad Nacional de Asunción,2501 - 3000,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,31 - 100,Sí,Oportunidad de crecimiento económico,Oportunidad de aprendizaje,Sí,6 a 10 veces al año,Las certificaciones oficiales,"En el mercado internacional, hay menores exigencias para cada nivel de seniority.","Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
8,2022-09-15 09:31:18.063,fulltime,r_dependencia,emp_local_cli_local,Sector financiero,dev / software eng,11 - 15,Senior,Mid-level o Associate,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,11 - 20,No,Remuneración económica,Oportunidad de crecimiento económico,Sí,No más de 2 al año,El idioma,Los criterios son similares.,No trabajo para el exterior,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
9,2022-09-15 09:32:14.943,fulltime,r_dependencia,emp_loc_cli_ext,soft. factory / intermediaria,dev / software eng,8.0,Semi-senior,Mid-level o Associate,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,2001 - 2500,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con NodeJS,menos de 5,No,Remuneración económica,Ambiente laboral,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
10,2022-09-15 09:33:01.137,fulltime,indef_sin_contrato,emp_local_cli_local,dev. productos propios,dev / software eng,11 - 15,Semi-senior,Senior,Grado,Universidad privada del Paraguay,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,menos de 5,Sí,Remuneración económica,Estabilidad laboral,No,6 a 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",La educación formal local es una desventaja significativa al participar de entrevistas técnicas para el exterior.,No trabajo para el exterior,Poder leer materiales técnicos
11,2022-09-15 09:33:09.352,fulltime,r_dependencia,emp_local_cli_local,Sector financiero,dev / software eng,8.0,Principal,Principal,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas",No trabajo para el exterior,.NET (web y/o desktop),no sé,No,Remuneración económica,Oportunidad de aprendizaje,No,No más de 2 al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Lo anterior más poder escribir sobre temas técnicos. (mails, chats, documentos)"
12,2022-09-15 09:34:38.643,fulltime,r_dependencia,emp_local_cli_local,Telefonía / Networking,SysAdmin,6.0,Junior,Junior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad privada del Paraguay,1000 - 1500,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Administración de servidores y/o infraestructura on premises,más de 100,No,Oportunidad de crecimiento económico,Seguro social y plan de retiro (jubilación),No,3 a 5 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Poder leer materiales técnicos
13,2022-09-15 09:34:47.319,fulltime,contrato_temporal,emp_local_cli_local,Gobierno,dev / software eng,5.0,Mid-level o Associate,Semi-senior,Grado,Universidad privada del Paraguay,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Días libres",No trabajo para el exterior,Desarrollo backend con Java,5 - 10,No,Modalidad de trabajo remota o híbrida,Remuneración inmediata,No,No más de 2 al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
