Marca temporal,Lugar de residencia.,Si selecciono PARAGUAY como lugar de residencia. Puede indicar el departamento en el que vive actualmente.,Como calificaría el estado de las calles en su lugar de residencia.,Considera que exista un problema de baches en su lugar de residencia.,Puede hacer una estimación de la cantidad de baches en su lugar de residencia.,Tipo de camino en su lugar de residencia.,Cuanto tiempo cree que demora la reparación de baches en su lugar de residencia.,Conoce algún método para denunciar la existencia de baches en su lugar de residencia.,"Puede acceder a información sobre los baches de su lugar de residencia. (Denuncias, ubicación y tareas de reparación de baches.)",Usted sufrió accidentes a causa de baches en su lugar de residencia.,"Si tiene vehículo. Cuan frecuentemente debe hacer mantenimiento a causa del estado de las calles o baches de su lugar de residencia.",Denunciaría la existencia de baches en su lugar de residencia.,Cree que seria util conocer la ubicación y otros datos de los baches en su lugar de residencia.,Si considera que su lugar de residencia tiene un problema de baches. Como califica la repuesta gubernamental al problema.,Puede estimar la regularidad con la que se reparan las calles en su lugar de residencia actual.
29/10/2022 21:02:13,Venezuela,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 9:28:12,Argentina,,Bueno,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
30/10/2022 10:05:24,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
30/10/2022 10:12:40,Spain,,Bueno,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
30/10/2022 10:21:56,Singapore,Central,Exelente,NO,,ASFALTO,POCO,SI,SI,NO NUNCA,FRECUENTEMENTE,SI,NO,EXELENTE,REGULARMENTE
30/10/2022 10:28:53,Guatemala,,Lamentable,SI,MUCHOS,MIXTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 10:56:46,Spain,,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO,,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,,REGULARMENTE
30/10/2022 11:17:49,Spain,,,SI,,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 11:30:21,Mexico,,Bueno,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
30/10/2022 11:38:57,Colombia,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
