,marca_temporal,lugar_residencia,lugar_residencia_py,estado_calles,problema_baches,estimacion_cantidad,tipo_camino,tiempo_reparaciones,como_denunciar,acceso_informacion,sufrio_accidentes,frecuencia_mantenimiento,denunciaria_baches,util_conocer,respuesta_gubernamental,regularidad_reparaciones
0,29/10/2022 21:02:13,Venezuela,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
1,30/10/2022 9:28:12,Argentina,,Bueno,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
2,30/10/2022 10:05:24,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
3,30/10/2022 10:12:40,Spain,,Bueno,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
4,30/10/2022 10:21:56,Singapore,Central,EXCELENTE,NO,,ASFALTO,POCO,SI,SI,NO NUNCA,FRECUENTEMENTE,SI,NO,EXCELENTE,REGULARMENTE
5,30/10/2022 10:28:53,Guatemala,,Lamentable,SI,MUCHOS,MIXTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
6,30/10/2022 10:56:46,Spain,,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO,,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,,REGULARMENTE
7,30/10/2022 11:17:49,Spain,,,SI,,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
8,30/10/2022 11:30:21,Mexico,,Bueno,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
9,30/10/2022 11:38:57,Colombia,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
